,count,mean,std,min,25%,50%,75%,max
dschrgpnwa_max_1_3,8319.0,1238.329767760548,1116.3936020481137,150.9,313.69100000000003,731.916,2226.2,3639.8
dschrgpnwa_max_min_1_3,8319.0,47.93255006611372,84.79138480549813,0.0,3.300000000000182,9.200000000000273,53.39999999999999,932.702
dschrg_pnwa_mean_4_6,8316.0,1214.459326499118,1127.952023856341,129.95799999999997,267.5725833333333,639.7641666666666,2224.1749999999997,3639.8
dschrg_pnwa_min_4_6,8316.0,1190.5729384319384,1140.7328375660393,0.881,219.06550000000001,558.533,2221.2,3639.8
dschrgpnwa_max_4_6,8316.0,1238.5195774410774,1116.57010335133,150.9,313.621,731.916,2226.225,3639.8
dschrgpnwa_max_min_4_6,8316.0,47.94663900913901,84.80519926861545,0.0,3.300000000000182,9.200000000000273,53.46200000000002,932.702
dschrg_pnwa_mean_7_9,8314.0,1214.545458403496,1128.100565835558,129.95799999999997,267.25808333333333,640.4473333333333,2224.1916666666666,3639.8
dschrg_pnwa_min_7_9,8314.0,1190.6559943468849,1140.8824054478466,0.881,218.62725,558.6935000000001,2221.2,3639.8
dschrgpnwa_max_7_9,8314.0,1238.60927146981,1116.717321186086,150.9,313.51824999999997,731.952,2226.275,3639.8
dschrgpnwa_max_min_7_9,8314.0,47.9532771229252,84.81401869634367,0.0,3.300000000000182,9.200000000000273,53.47400000000002,932.702
dschrg_pnwa_mean_10_12,8311.0,1214.7583905466652,1128.2607274271986,129.95799999999997,266.9611666666666,644.7566666666665,2224.2,3639.8
dschrg_pnwa_min_10_12,8311.0,1190.8945545662375,1141.024155945716,0.881,218.246,558.854,2221.25,3639.8
dschrgpnwa_max_10_12,8311.0,1238.8036172542413,1116.8911372151074,150.9,313.281,731.988,2226.3,3639.8
dschrgpnwa_max_min_10_12,8311.0,47.90906268800386,84.80405720927834,0.0,3.300000000000182,9.199999999999818,53.39999999999999,932.702
